Filename,Scene Complexity,Base Threshold,Adaptive Threshold,Threshold Change,Standard Objects,Adaptive Objects,Object Count Diff,Standard Time (s),Adaptive Time (s),Speed Improvement
000000000612.jpg,0.862412996199094,0.25,0.20796596882051338,-0.04203403117948662,10,7,-3,0.9638667106628418,0.03983116149902344,24.198810036872096
000000000404.jpg,0.6903086166643725,0.25,0.13612836033001607,-0.11387163966998393,2,2,0,0.027479887008666992,0.023919105529785156,1.1488676687532395
000000000438.jpg,0.9523561956057013,0.25,0.1569981558234359,-0.0930018441765641,20,20,0,0.025968074798583984,0.03858804702758789,0.6729564411492123
000000000389.jpg,0.9112178382002469,0.25,0.18030989168652672,-0.06969010831347328,9,11,2,0.030551910400390625,0.03200793266296387,0.9545105809267715
000000000564.jpg,1.0,0.25,0.12999999999999995,-0.12000000000000005,27,40,13,0.0299527645111084,0.04569101333618164,0.6555504534496613
000000000149.jpg,0.5914100904733756,0.25,0.1929616903336291,-0.05703830966637091,7,8,1,0.0779571533203125,0.03495907783508301,2.229954511044882
000000000605.jpg,0.7937701802515612,0.25,0.2468635645241153,-0.0031364354758847135,6,6,0,0.029716968536376953,0.031209945678710938,0.9521634174662348
000000000349.jpg,0.6804846923613177,0.25,0.1422386835275365,-0.10776131647246351,2,3,1,0.02814793586730957,0.02761983871459961,1.0191202113150217
000000000201.jpg,0.787323769805614,0.25,0.2505165304434853,0.0005165304434853191,6,6,0,0.026443004608154297,0.03378796577453613,0.7826160587650035
000000000599.jpg,0.6810038715600968,0.25,0.14191832877959487,-0.10808167122040513,5,6,1,0.041271209716796875,0.02646493911743164,1.5594673969838382
000000000572.jpg,0.4987496443092823,0.25,0.23678057061796107,-0.013219429382038933,3,3,0,0.0250089168548584,0.020855188369750977,1.1991700296091365
000000000360.jpg,0.4426016686946094,0.25,0.2588940513228242,0.008894051322824226,1,1,0,0.02438497543334961,0.021777868270874023,1.1197136069540086
000000000370.jpg,0.5665602654218673,0.25,0.2056083068250345,-0.044391693174965496,2,2,0,0.02319788932800293,0.022060155868530273,1.0515741351173171
000000000562.jpg,0.6561807498335839,0.25,0.156914704679606,-0.093085295320394,3,3,0,0.033236026763916016,0.024011850357055664,1.384151003346142
000000000589.jpg,0.4307981476187706,0.25,0.26311668606386973,0.013116686063869731,1,1,0,0.08528804779052734,0.05116605758666992,1.6668872258930318
000000000359.jpg,0.6030215574890315,0.25,0.1868274473725704,-0.0631725526274296,3,4,1,0.03451395034790039,0.02557682991027832,1.3494225230012025
000000000629.jpg,0.20669036209583283,0.25,0.2655516063173612,0.015551606317361188,1,1,0,0.023002147674560547,0.022880077362060547,1.0053352228914407
000000000165.jpg,0.5946156899095988,0.25,0.19128251337560243,-0.058717486624397575,3,5,2,0.026879310607910156,0.03792428970336914,0.7087624005129947
000000000415.jpg,0.4907969355583191,0.25,0.2401163074278081,-0.009883692572191904,2,2,0,0.02684807777404785,0.02628183364868164,1.0215450768365477
000000000575.jpg,0.45777282924353474,0.25,0.25324925766050943,0.0032492576605094303,1,1,0,0.04041695594787598,0.027187108993530273,1.4866220589138042
000000000560.jpg,0.507065928971908,0.25,0.2332204562810637,-0.016779543718936307,2,2,0,0.0261690616607666,0.020284175872802734,1.2901220056888973
000000000400.jpg,0.637699260807178,0.25,0.1676547369926889,-0.0823452630073111,1,1,0,0.03210592269897461,0.030009984970092773,1.0698413455045244
000000000428.jpg,0.5167345747351646,0.25,0.22898903130453518,-0.021010968695464816,2,2,0,0.019700050354003906,0.018021821975708008,1.0931220151080183
000000000164.jpg,0.9271482229232788,0.25,0.17128267884254456,-0.07871732115745544,3,7,4,0.025156021118164062,0.0215609073638916,1.1667422290535534
000000000315.jpg,0.9611963033676147,0.25,0.15198877453804016,-0.09801122546195984,12,31,19,0.02189922332763672,0.020496845245361328,1.0684192160055834
000000000077.jpg,0.7459037019401729,0.25,0.273987902233902,0.023987902233902014,7,6,-1,0.023090839385986328,0.022224903106689453,1.0389624321482975
000000000089.jpg,0.9247927513443586,0.25,0.17261744090486345,-0.07738255909513655,8,9,1,0.023756027221679688,0.021168947219848633,1.1222110847064388
000000000260.jpg,0.727344298362732,0.25,0.28450489759445186,0.034504897594451855,6,6,0,0.02057480812072754,0.020287036895751953,1.0141849806087673
000000000328.jpg,0.7810532654286837,0.25,0.2540698162570792,0.004069816257079195,8,8,0,0.0262148380279541,0.02371692657470703,1.1053218866862358
000000000472.jpg,0.11299041509628296,0.25,0.2811682641506195,0.031168264150619518,1,1,0,0.016004085540771484,0.014174938201904297,1.1290409392135097
000000000510.jpg,0.7050411696197009,0.25,0.2971433372155028,0.04714333721550279,3,3,0,0.023154020309448242,0.02166604995727539,1.0686775095186742
000000000074.jpg,0.8906890595608519,0.25,0.19194286624885057,-0.05805713375114943,7,7,0,0.021047115325927734,0.019500017166137695,1.0793382973260464
000000000049.jpg,0.8234149957352446,0.25,0.23006483575002806,-0.019935164249971937,10,10,0,0.02477288246154785,0.023410320281982422,1.0582034830430798
000000000061.jpg,0.516238059103489,0.25,0.22920874776918523,-0.020791252230814766,2,2,0,0.026319026947021484,0.023466825485229492,1.1215418533532466
000000000263.jpg,0.44039811254441136,0.25,0.25969359764360744,0.009693597643607443,1,1,0,0.030572891235351562,0.02866196632385254,1.0666711030885814
000000000459.jpg,0.676675627734624,0.25,0.1445802733252161,-0.10541972667478389,2,2,0,0.02479839324951172,0.025166034698486328,0.9853913636622014
000000000471.jpg,0.35,0.25,0.28804687500000004,0.038046875000000036,1,1,0,0.021359920501708984,0.02139115333557129,0.998539918190836
000000000307.jpg,0.419372496008873,0.25,0.2670631421713144,0.017063142171314383,3,3,0,0.023669004440307617,0.02263498306274414,1.0456824453854094
000000000529.jpg,0.5624799232744799,0.25,0.20762217030176655,-0.04237782969823345,3,3,0,0.023516178131103516,0.0211031436920166,1.1143447855117328
000000000071.jpg,0.7114965796470643,0.25,0.29348527153333026,0.04348527153333026,3,3,0,0.021750926971435547,0.021398067474365234,1.0164902506963789
000000000064.jpg,0.5844523712992669,0.25,0.19656875934446233,-0.05343124065553767,2,3,1,0.022629976272583008,0.022031068801879883,1.0271846761538879
000000000514.jpg,0.0,0.25,0.25,0.0,0,0,0,0.0197141170501709,0.01825714111328125,1.0798030714584204
000000000474.jpg,0.5204303233414829,0.25,0.2273453698329561,-0.022654630167043888,2,2,0,0.02112889289855957,0.0200960636138916,1.0513946066509272
000000000312.jpg,0.5944915185333705,0.25,0.19134776086486074,-0.058652239135139256,5,5,0,0.02268695831298828,0.02028799057006836,1.1182457047500411
000000000110.jpg,1.0,0.25,0.12999999999999995,-0.12000000000000005,17,25,8,0.023077964782714844,0.022597789764404297,1.0212487603131397
000000000138.jpg,0.9188592116802751,0.25,0.1759797800478441,-0.07402021995215591,9,12,3,0.02638697624206543,0.025094270706176758,1.0515139710982109
000000000338.jpg,0.8123249110758184,0.25,0.2363492170570362,-0.01365078294296379,7,9,2,0.020071983337402344,0.0188291072845459,1.0660082304526748
